Movie Title,Release Date,Wikipedia URL,Genre (1),Genre (2),Director (1),Director (2),Cast (1),Cast (2),Cast (3),Cast (4),Cast (5),Budget ($),Box Office Revenue ($),weight,,,,,,,
Southpaw,2015-06-15,https://en.wikipedia.org/wiki/Southpaw_(film),Drama,,Antoine Fuqua,,Jake Gyllenhaal,Rachel McAdams,Naomie Harris,Forest Whitaker,Victor Ortiz,"30,000,000.00","92,000,000.00",0.306666667,,,,,,,
Spotlight,2015-09-03,https://en.wikipedia.org/wiki/Spotlight_(film),Drama,,Tom McCarthy,,Mark Ruffalo,Michael Keaton,Rachel McAdams,Liev Schreiber,John Slattery,"20,000,000.00","88,300,000.00",0.4415,,,,,,,
Spy,2015-05-15,https://en.wikipedia.org/wiki/Spy_(2015_film),Action,Comedy,Paul Feig,,Melissa McCarthy,Jason Statham,Rose Byrne,Miranda Hart,Bobby Cannavale,"65,000,000.00","235,700,000.00",0.362615385,,,,,,,
St. Vincent,2014-09-05,https://en.wikipedia.org/wiki/St._Vincent_(film),Comedy,,Theodore Melfi,,Bill Murray,Melissa McCarthy,Naomi Watts,Chris O'Dowd,Kimberly Quinn,"13,000,000.00","54,800,000.00",0.421538462,,,,,,,
Stand by Me Doraemon,2014-08-08,https://en.wikipedia.org/wiki/Stand_by_Me_Doraemon,Animation,,Takashi Yamazaki,Ryuichi Yagi,Wasabi Mizuta,Megumi Ohara,Yumi Kakazu,Tomokazu Seki,Subaru Kimura,"35,000,000.00","196,400,000.00",0.561142857,,,,,,,
Star Trek Beyond,2016-07-22,https://en.wikipedia.org/wiki/Star_Trek_Beyond,Action,Adventure,Justin Lin,,Chris Pine,Zachary Quinto,Zoe Saldana,Karl Urban,John Cho,"185,000,000.00","243,000,000.00",0.131351351,,,,,,,
Step Up: All In,2014-08-08,https://en.wikipedia.org/wiki/Step_Up:_All_In,Drama,,Trish Sie,,Ryan Guzman,Briana Evigan,Alyson Stoner,Adam Sevani,Mari Koda,"45,000,000.00","86,200,000.00",0.191555556,,,,,,,
Steve Jobs,2015-09-05,https://en.wikipedia.org/wiki/Steve_Jobs_(2015_film),Biography,,Danny Boyle,,Michael Fassbender,Seth Rogen,Kate Winslet,Jeff Daniels,Katherine Waterston,"30,000,000.00","34,400,000.00",0.114666667,,,,,,,
Straight Outta Compton,2015-08-11,https://en.wikipedia.org/wiki/Straight_Outta_Compton_(2015_film),Biography,Drama,F. Gary Gray,,O'Shea Jackson,Jr.,Corey Hawkins,Jason Mitchell,Aldis Hodge,"50,000,000.00","201,600,000.00",0.4032,,,,,,,
Suffragette,2015-09-04,https://en.wikipedia.org/wiki/Suffragette_(film),Drama,,Sarah Gavron,,Carey Mulligan,Helena Bonham Carter,Meryl Streep,Ben Whishaw,Brendan Gleeson,"14,000,000.00","32,000,000.00",0.228571429,,,,,,,
Suicide Squad,2016-08-05,https://en.wikipedia.org/wiki/Suicide_Squad_(film),Action,,David Ayer,,Will Smith,Jared Leto,Margot Robbie,Joel Kinnaman,Viola Davis,"175,000,000.00","636,700,000.00",0.363828571,,,,,,,
Taken 2,2012-10-05,https://en.wikipedia.org/wiki/Taken_2,Action,Thriller,Olivier Megaton,,Liam Neeson,Famke Janssen,Maggie Grace,Rade Sherbedgia,Luke Grimes,"43,000,000.00","376,100,000.00",0.874651163,,,,,,,
Tammy,2014-07-02,https://en.wikipedia.org/wiki/Tammy_(film),Comedy,,Ben Falcone,,Melissa McCarthy,Susan Sarandon,Allison Janney,Toni Collette,Sandra Oh,"20,000,000.00","100,500,000.00",0.5025,,,,,,,
Ted,2012-06-29,https://en.wikipedia.org/wiki/Ted_(film),Comedy,,Seth MacFarlane,,Mark Wahlberg,Mila Kunis,Seth MacFarlane,Giovanni Ribisi,Joel McHale,"51,000,000.00","549,400,000.00",1.077254902,,,,,,,
Ted 2,2015-06-24,https://en.wikipedia.org/wiki/Ted_2,Comedy,,Seth MacFarlane,,Alec Sulkin,Wellesley Wild(screenplay) Mark Wahlberg,Seth MacFarlane,Amanda Seyfried,Giovanni Ribisi,"68,000,000.00","216,700,000.00",0.318676471,,,,,,,
Teenage Mutant Ninja Turtles,2014-07-29,https://en.wikipedia.org/wiki/Teenage_Mutant_Ninja_Turtles_(2014_film),Action,Comedy,Jonathan Liebesman,,Megan Fox,Johnny Knoxville,Alan Ritchson,Noel Fisher,Jeremy Howard,"125,000,000.00","493,300,000.00",0.39464,,,,,,,
Teenage Mutant Ninja Turtles: Out of the Shadows,2016-05-22,https://en.wikipedia.org/wiki/Teenage_Mutant_Ninja_Turtles:_Out_of_the_Shadows,Action,,Dave Green,,Megan Fox,Stephen Amell,Will Arnett,Laura Linney,Brian Tee,"135,000,000.00","242,500,000.00",0.17962963,,,,,,,
Terminator Genisys,2015-06-22,https://en.wikipedia.org/wiki/Terminator_Genisys,Sci-Fi,Action,Alan Taylor,,Arnold Schwarzenegger,J. K. Simmons,Emilia Clarke,Jason Clarke,Jai Courtney,"155,000,000.00","440,600,000.00",0.284258065,,,,,,,
Texas Chainsaw 3D,2013-01-04,https://en.wikipedia.org/wiki/Texas_Chainsaw_3D,Horror,,John Luessenhop,,Alexandra Daddario,Dan Yeager,Trey Songz,Scott Eastwood,Tania Raymonde,"20,000,000.00","47,200,000.00",0.236,,,,,,,
That Awkward Moment,2014-01-27,https://en.wikipedia.org/wiki/That_Awkward_Moment,Comedy,Romance,Tom Gormican,,Zac Efron,Michael B. Jordan,Miles Teller,Imogen Poots,Jessica Lucas,"8,000,000.00","40,500,000.00",0.50625,,,,,,,
The 33,2015-08-06,https://en.wikipedia.org/wiki/The_33_(film),Drama,,Patricia Riggen,,Antonio Banderas,Rodrigo Santoro,Juliette Binoche,James Brolin,Lou Diamond Phillips,"26,000,000.00","24,900,000.00",0.095769231,,,,,,,
The 5th Wave,2016-01-22,https://en.wikipedia.org/wiki/The_5th_Wave_(film),Sci-Fi,Adventure,J Blakeson,,Chloë Grace Moretz,Nick Robinson,Alex Roe,Liev Schreiber,Maika Monroe,"35,000,000.00","110,700,000.00",0.316285714,,,,,,,
The Age of Adaline,2015-04-24,https://en.wikipedia.org/wiki/The_Age_of_Adaline,Romance,,Lee Toland Krieger,,Blake Lively,Michiel Huisman,Harrison Ford,Ellen Burstyn,Amanda Crew,"25,000,000.00","65,700,000.00",0.2628,,,,,,,
The Amazing Spider-Man,2012-07-03,https://en.wikipedia.org/wiki/The_Amazing_Spider-Man_(2012_film),Action,Fantasy,Marc Webb,,Andrew Garfield,Emma Stone,Max Charles,Martin Sheen,Sally Field,"230,000,000.00","757,900,000.00",0.329521739,,,,,,,
The Angry Birds Movie,2016-05-05,https://en.wikipedia.org/wiki/The_Angry_Birds_Movie,Comedy,,Clay Kaytis,Fergal Reilly,Jason Sudeikis,Josh Gad,Danny McBride,Bill Hader,Maya Rudolph,"73,000,000.00","346,900,000.00",0.475205479,,,,,,,
The Best Exotic Marigold Hotel ₪,2012-05-04,https://en.wikipedia.org/wiki/The_Best_Exotic_Marigold_Hotel,Comedy,Drama,John Madden,,Judi Dench,Bill Nighy,Dev Patel,Tom Wilkinson,Maggie Smith,"10,000,000.00","136,800,000.00",1.368,,,,,,,
The Big Short,2015-12-11,https://en.wikipedia.org/wiki/The_Big_Short_(film),Biography,Drama,Adam McKay,,Religious Bale,Steve Carell,Ryan Gosling,Brad Pitt,Melissa Leo,"28,000,000.00","133,300,000.00",0.476071429,,,,,,,
The Bling Ring,2013-06-14,https://en.wikipedia.org/wiki/The_Bling_Ring,Comedy,Crime,Sofia Coppola,,Emma Watson,Israel Broussard,Katie Chang,Claire Julien,Taissa Farmiga,"8,000,000.00","19,100,000.00",0.23875,,,,,,,
The Book of Life,2014-10-12,https://en.wikipedia.org/wiki/The_Book_of_Life_(2014_film),Family,,Jorge R. Gutierrez,,Christina Applegate,Diego Luna,Zoe Saldana,Channing Tatum,,"50,000,000.00","99,800,000.00",0.1996,,,,,,,
The Boss,2016-04-08,https://en.wikipedia.org/wiki/The_Boss_(2016_film),Comedy,,Ben Falcone,,Melissa McCarthy,Kristen Bell,Peter Dinklage,Tyler Labine,Kristen Schaal,"29,000,000.00","78,600,000.00",0.271034483,,,,,,,
The Bourne Legacy,2012-08-10,https://en.wikipedia.org/wiki/The_Bourne_Legacy_(film),Action,Thriller,Tony Gilroy,,Jeremy Renner,Rachel Weisz,Edward Norton,Oscar Isaac,Joan Allen,"125,000,000.00","276,100,000.00",0.22088,,,,,,,
The Boxtrolls,2014-08-31,https://en.wikipedia.org/wiki/The_Boxtrolls,Family,,Anthony Stacchi,Graham Annable,Ben Kingsley,Toni Collette,Elle Fanning,Isaac Hempstead-Wright,Jared Harris,"60,000,000.00","109,300,000.00",0.182166667,,,,,,,
The Boy,2016-01-22,https://en.wikipedia.org/wiki/The_Boy_(2016_film),Horror,Thriller,William Brent Bell,,Lauren Cohan,Rupert Evans,Jim Norton,Diana Hardcastle,,"10,000,000.00","64,200,000.00",0.642,,,,,,,
The Butler,2013-08-16,https://en.wikipedia.org/wiki/The_Butler,Drama,Biography,Lee Daniels,,Forest Whitaker,Oprah Winfrey,David Oyelowo,Liam Neeson,John Cusack,"30,000,000.00","176,600,000.00",0.588666667,,,,,,,
The Cabin in the Woods,2012-04-13,https://en.wikipedia.org/wiki/The_Cabin_in_the_Woods,Horror,Comedy,Drew Goddard,,Richard Jenkins,Bradley Whitford,Jesse Williams,Chris Hemsworth,Kristen Connolly,"30,000,000.00","66,500,000.00",0.221666667,,,,,,,
The Call,2013-03-15,https://en.wikipedia.org/wiki/The_Call_(2013_film),Mystery,,Brad Anderson,,Abigail Breslin,Halle Berry,Morris Chestnut,Michael Eklund,Michael Imperioli,"13,000,000.00","68,600,000.00",0.527692308,,,,,,,
The Campaign,2012-08-10,https://en.wikipedia.org/wiki/The_Campaign_(film),Comedy,,Jay Roach,,Will Ferrell,Zach Galifianakis,Jason Sudeikis,Katherine LaNasa,Dylan McDermott,"95,000,000.00","104,900,000.00",0.110421053,,,,,,,
The Cold Light of Day,2012-09-07,https://en.wikipedia.org/wiki/The_Cold_Light_of_Day_(film),Action,Thriller,Mabrouk El Mechri,,Henry Cavill,Bruce Willis,Sigourney Weaver,Veronica Echegui,Roschoy Zem,"20,000,000.00","16,900,000.00",0.0845,,,,,,,
The Collection,2012-11-30,https://en.wikipedia.org/wiki/The_Collection_(film),Horror,,Marcus Dunstan,,Josh Stewart,Emma Fitzpatrick,,,,"10,000,000.00","8,900,000.00",0.089,,,,,,,
The Conjuring,2013-07-19,https://en.wikipedia.org/wiki/The_Conjuring_(film),Thriller,Horror,James Wan,,Patrick Wilson,Vera Farmiga,Ron Livingston,Lili Taylor,Shannon Kook,"20,000,000.00","318,000,000.00",1.59,,,,,,,
The Conjuring 2,2016-06-07,https://en.wikipedia.org/wiki/The_Conjuring_2,Horror,,James Wan,,Patrick Wilson,Vera Farmiga,,,,"40,000,000.00","319,500,000.00",0.79875,,,,,,,
The Croods,2013-03-22,https://en.wikipedia.org/wiki/The_Croods,Adventure,Comedy,Chris Sanders,Kirk DeMicco,Nicolas Cage,Ryan Reynolds,Emma Stone,Catherine Keener,Clark Duke,"135,000,000.00","587,200,000.00",0.434962963,,,,,,,
The Danish Girl,2015-09-05,https://en.wikipedia.org/wiki/The_Danish_Girl_(film),Drama,,Tom Hooper,,Eddie Redmayne,Alicia Vikander,Matthias Schoenaerts,Ben Whishaw,,"15,000,000.00","64,200,000.00",0.428,,,,,,,
The Darkness,2016-05-13,https://en.wikipedia.org/wiki/The_Darkness_(film),Horror,,Greg McLean,,Kevin Bacon,Radha Mitchell,David Mazouz,Lucy Fry,Matt Walsh,"4,000,000.00","10,900,000.00",0.2725,,,,,,,
The Devil Inside,2012-01-06,https://en.wikipedia.org/wiki/The_Devil_Inside_(film),Horror,Drama,William Brent Bell,,Suzan Crowley,Fernanda Andrade,Simon Quarterman,Evan Helmuth,,"1,000,000.00","101,800,000.00",10.18,,,,,,,
The Dictator,2012-05-16,https://en.wikipedia.org/wiki/The_Dictator_(2012_film),Comedy,,Larry Charles,,Sacha Baron Cohen,Ben Kingsley,Anna Faris,Megan Fox,John C. Reilly,"65,000,000.00","179,400,000.00",0.276,,,,,,,
The Divergent Series: Allegiant,2016-03-18,https://en.wikipedia.org/wiki/The_Divergent_Series:_Allegiant,Adventure,Action,Robert Schwentke,,Shailene Woodley,Theo James,Naomi Watts,Jeff Daniels,Ansel Elgort,"110,000,000.00","179,200,000.00",0.162909091,,,,,,,
The Divergent Series: Insurgent,2015-03-19,https://en.wikipedia.org/wiki/The_Divergent_Series:_Insurgent,Sci-Fi,Action,Robert Schwentke,,Shailene Woodley,Kate Winslet,Theo James,Ansel Elgort,Naomi Watts,"110,000,000.00","297,300,000.00",0.270272727,,,,,,,
The Drop,2014-09-12,https://en.wikipedia.org/wiki/The_Drop_(film),Drama,,Michaël R. Roskam,,Tom Hardy,Noomi Rapace,James Gandolfini,Matthias Schoenaerts,John Ortiz,"12,600,000.00","18,700,000.00",0.148412698,,,,,,,
The Duff,2015-02-12,https://en.wikipedia.org/wiki/The_Duff,Comedy,,Ari Sandel,,Mae Whitman,Robbie Amell,Bella Thorne,Bianca A. Santos,Allison Janney,"8,500,000.00","43,500,000.00",0.511764706,,,,,,,
The East,2013-05-31,https://en.wikipedia.org/wiki/The_East_(film),Crime,,Zal Batmanglij,,Brit Marling,Alexander Skarsgard,Ellen Page,Julia Ormond,Patricia Clarkson,"6,500,000.00","2,400,000.00",0.036923077,,,,,,,
The Equalizer,2014-09-07,https://en.wikipedia.org/wiki/The_Equalizer_(film),Thriller,,Antoine Fuqua,,Denzel Washington,Chloë Grace Moretz,Marton Csokas,David Harbour,Bill Pullman,"55,000,000.00","192,300,000.00",0.349636364,,,,,,,
The Expendables 2,2012-08-17,https://en.wikipedia.org/wiki/The_Expendables_2,Action,,Simon West,,Sylvester Stallone,Jason Statham,Dolph Lundgren,Terry Crews,Randy Couture,"100,000,000.00","305,400,000.00",0.3054,,,,,,,
The Expendables 3,2014-08-04,https://en.wikipedia.org/wiki/The_Expendables_3,Action,,Patrick Hughes,,Sylvester Stallone,Arnold Schwarzenegger,Harrison Ford,Mel Gibson,Jason Statham,"90,000,000.00","206,200,000.00",0.229111111,,,,,,,
The Family,2013-09-13,https://en.wikipedia.org/wiki/The_Family_(2013_film),Crime,,Luc Besson,,Robert De Niro,Michelle Pfeiffer,Dianna Agron,Tommy Lee Jones,Vincent Pastore,"30,000,000.00","78,400,000.00",0.261333333,,,,,,,
The Fault in Our Stars,2014-05-16,https://en.wikipedia.org/wiki/The_Fault_in_Our_Stars_(film),Drama,,Josh Boone,,Shailene Woodley,Ansel Elgort,,,,"13,000,000.00","307,200,000.00",2.363076923,,,,,,,
The Five-Year Engagement,2012-04-27,https://en.wikipedia.org/wiki/The_Five-Year_Engagement,Comedy,Romance,Nicholas Stoller,,Jason Segel,Emily Blunt,Chris Pratt,Alison Brie,Rhys Ifans,"30,000,000.00","53,900,000.00",0.179666667,,,,,,,
The Forest,2016-01-08,https://en.wikipedia.org/wiki/The_Forest_(2016_film),Horror,,Jason Zada,,Natalie Dormer,Taylor Kinney,,,,"10,000,000.00","37,600,000.00",0.376,,,,,,,
The Gift,2015-07-30,https://en.wikipedia.org/wiki/The_Gift_(2015_film),Thriller,,Joel Edgerton,,Jason Bateman,Rebecca Hall,Joel Edgerton,,,"5,000,000.00","59,000,000.00",1.18,,,,,,,
The Giver,2014-08-11,https://en.wikipedia.org/wiki/The_Giver_(film),Sci-Fi,,Phillip Noyce,,Jeff Bridges,Brenton Thwaites,Meryl Streep,Alexander Skarsgård,Katie Holmes,"25,000,000.00","67,000,000.00",0.268,,,,,,,
The Grand Budapest Hotel,2014-02-06,https://en.wikipedia.org/wiki/The_Grand_Budapest_Hotel,Comedy,,Wes Anderson,,Ralph Fiennes,Tony Revolori,F. Murray Abraham,Mathieu Amalric,Adrien Brody,"23,000,000.00","174,800,000.00",0.76,,,,,,,
The Great Gatsby,2013-05-10,https://en.wikipedia.org/wiki/The_Great_Gatsby_(2013_film),Drama,Romance,Baz Luhrmann,,Leonardo DiCaprio,Tobey Maguire,Joel Edgerton,Carey Mulligan,Isla Fisher,"105,000,000.00","351,000,000.00",0.334285714,,,,,,,
The Grey,2012-01-27,https://en.wikipedia.org/wiki/The_Grey_(film),Action,Drama,Joe Carnahan,,Liam Neeson,Frank Grillo,Dermot Mulroney,Dallas Roberts,,"25,000,000.00","77,300,000.00",0.3092,,,,,,,
The Gunman,2015-03-20,https://en.wikipedia.org/wiki/The_Gunman_(film),Thriller,,Pierre Morel,,Sean Penn,Javier Bardem,Ray Winstone,Idris Elba,Mark Rylance,"40,000,000.00","24,200,000.00",0.0605,,,,,,,
The Hangover Part III,2013-05-23,https://en.wikipedia.org/wiki/The_Hangover_Part_III,Comedy,,Todd Phillips,,Bradley Cooper,Zach Galifianakis,Ed Helms,Justin Bartha,Ken Jeong,"103,000,000.00","362,000,000.00",0.351456311,,,,,,,
The Hateful Eight,2015-12-25,https://en.wikipedia.org/wiki/The_Hateful_Eight,Drama,,Quentin Tarantino,,Samuel L. Jackson,Kurt Russell,Jennifer Jason Leigh,Walton Goggins,Tim Roth,"44,000,000.00","155,800,000.00",0.354090909,,,,,,,
The Heat,2013-06-28,https://en.wikipedia.org/wiki/The_Heat_(film),Action,Comedy,Paul Feig,,Sandra Bullock,Melissa McCarthy,Kaitlin Olson,Tony Hale,Demian Bichir,"43,000,000.00","229,900,000.00",0.534651163,,,,,,,
The Hobbit: The Battle of the Five Armies,2014-12-01,https://en.wikipedia.org/wiki/The_Hobbit:_The_Battle_of_the_Five_Armies,Adventure,Fantasy,Peter Jackson,,Ian McKellen,Martin Freeman,Richard Armitage,Evangeline Lilly,Luke Evans,"250,000,000.00","956,000,000.00",0.3824,,,,,,,
The Host,2013-03-29,https://en.wikipedia.org/wiki/The_Host_(2013_film),Sci-Fi,Romance,Andrew Niccol,,Saoirse Ronan,Max Irons,Jake Abel,Diane Kruger,William Hurt,"40,000,000.00","63,300,000.00",0.15825,,,,,,,
The Hundred-Foot Journey,2014-08-08,https://en.wikipedia.org/wiki/The_Hundred-Foot_Journey_(film),Drama,,Lasse Hallström,,Helen Mirren,Manish Dayal,,,,"22,000,000.00","88,900,000.00",0.404090909,,,,,,,
The Hunger Games,2012-03-23,https://en.wikipedia.org/wiki/The_Hunger_Games_(film),Action,Sci-Fi,Gary Ross,,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Wes Bentley,Elizabeth Banks,"78,000,000.00","694,400,000.00",0.89025641,,,,,,,
The Hunger Games: Mockingjay – Part 1,2014-11-10,https://en.wikipedia.org/wiki/The_Hunger_Games:_Mockingjay_%25E2%2580%2593_Part_1,Sci-Fi,Adventure,Francis Lawrence,,Jennifer Lawrence,Josh Hutcherson,Woody Harrelson,Julianne Moore,Donald Sutherland,"125,000,000.00","755,400,000.00",0.60432,,,,,,,
The Hunger Games: Mockingjay – Part 2,2015-11-04,https://en.wikipedia.org/wiki/The_Hunger_Games:_Mockingjay_%25E2%2580%2593_Part_2,Sci-Fi,,Francis Lawrence,,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Woody Harrelson,Elizabeth Banks,"160,000,000.00","653,400,000.00",0.408375,,,,,,,
The Huntsman: Winter's War,2016-04-22,https://en.wikipedia.org/wiki/The_Huntsman:_Winter%2527s_War,Fantasy,,Cedric Nicolas-Troyan,,Chris Hemsworth,Charlize Theron,Emily Blunt,Jessica Chastain,Nick Frost,"115,000,000.00","164,600,000.00",0.143130435,,,,,,,
The Iceman,2013-05-03,https://en.wikipedia.org/wiki/The_Iceman_(film),Drama,Thriller,Ariel Vromen,,Morgan Land (screenplay),Michael Shannon,Winona Ryder,Chris Evans,Ray Liotta,"10,000,000.00","4,400,000.00",0.044,,,,,,,
The Identical,2014-04-17,https://en.wikipedia.org/wiki/The_Identical,Religious,Musical,Dustin Marcellino,,Ray Liotta,Ashley Judd,Seth Green,Brian Geraghty,Joe Pantoliano,"16,000,000.00","2,800,000.00",0.0175,,,,,,,
The Imitation Game,2014-08-29,https://en.wikipedia.org/wiki/The_Imitation_Game,Drama,,Morten Tyldum,,Benedict Cumberbatch,Keira Knightley,Matthew Goode,Rory Kinnear,Allen Leech,"14,000,000.00","233,600,000.00",1.668571429,,,,,,,
The Impossible,2012-12-21,https://en.wikipedia.org/wiki/The_Impossible_(2012_film),Drama,,Juan Antonio Bayona,,Naomi Watts,Ewan McGregor,,,,"45,000,000.00","180,300,000.00",0.400666667,,,,,,,
The Incredible Burt Wonderstone,2013-03-15,https://en.wikipedia.org/wiki/The_Incredible_Burt_Wonderstone,Comedy,,Don Scardino,,Steve Carell,Jim Carrey,Steve Buscemi,Olivia Wilde,James Gandolfini,"34,000,000.00","27,400,000.00",0.080588235,,,,,,,
The Infiltrator,2016-07-13,https://en.wikipedia.org/wiki/The_Infiltrator_(2016_film),Drama,Biography,Brad Furman,,Bryan Cranston,Diane Kruger,Benjamin Bratt,John Leguizamo,Amy Ryan,"47,500,000.00","15,200,000.00",0.032,,,,,,,
The Intern,2015-09-15,https://en.wikipedia.org/wiki/The_Intern_(2015_film),Comedy,,Nancy Meyers,,Robert De Niro,Anne Hathaway,Rene Russo,Adam DeVine,Anders Holm,"44,000,000.00","194,600,000.00",0.442272727,,,,,,,
The Internship,2013-06-07,https://en.wikipedia.org/wiki/The_Internship,Comedy,,Shawn Levy,,Vince Vaughn,Owen Wilson,Dylan O'Brien,Rose Byrne,Jessica Szohr,"58,000,000.00","93,000,000.00",0.160344828,,,,,,,
The Interview,2014-12-11,https://en.wikipedia.org/wiki/The_Interview_(2014_film),Action,Comedy,Seth Rogen,Evan Goldberg,Seth Rogen,James Franco,Lizzy Caplan,,,"44,000,000.00","11,300,000.00",0.025681818,,,,,,,
The Judge,2014-09-04,https://en.wikipedia.org/wiki/The_Judge_(2014_film),Comedy,Drama,David Dobkin,,Robert Downey,Jr.,Robert Duvall,Vera Farmiga,Billy Bob Thornton,"50,000,000.00","84,400,000.00",0.1688,,,,,,,
The Lady in the Van,2015-12-04,https://en.wikipedia.org/wiki/The_Lady_in_the_Van,Comedy,Drama,Nicholas Hytner,,Maggie Smith,Alex Jennings,Jim Broadbent,Frances de la Tour,Roger Allam,"6,000,000.00","41,400,000.00",0.69,,,,,,,
The Last Exorcism Part II,2013-03-01,https://en.wikipedia.org/wiki/The_Last_Exorcism_Part_II,Horror,Thriller,Ed Gass-Donnelly,,Ashley Bell,Spencer Treat Clark,Muse Watson,Louis Herthum,Judd Lormand,"5,000,000.00","15,100,000.00",0.302,,,,,,,
The Last Stand,2013-01-18,https://en.wikipedia.org/wiki/The_Last_Stand_(2013_film),Action,,Kim Ji-woon,,Arnold Schwarzenegger,Forest Whitaker,Peter Stormare,Jaimie Alexander,Rodrigo Santoro,"45,000,000.00","48,300,000.00",0.107333333,,,,,,,
The Last Witch Hunter,2015-10-23,https://en.wikipedia.org/wiki/The_Last_Witch_Hunter,Action,Fantasy,Breck Eisner,,Vin Diesel,Michael Caine,Rose Leslie,Elijah Wood,,"90,000,000.00","140,400,000.00",0.156,,,,,,,
The Lazarus Effect,2015-02-27,https://en.wikipedia.org/wiki/The_Lazarus_Effect_(2015_film),Horror,,David Gelb,,Olivia Wilde,Mark Duplass,Donald Glover,,,"3,300,000.00","38,400,000.00",1.163636364,,,,,,,
The Legend of Hercules,2014-01-10,https://en.wikipedia.org/wiki/The_Legend_of_Hercules,Action,Adventure,Renny Harlin,,Kellan Lutz,Gaia Weiss,Scott Adkins,Roxanne McKee,Liam Garrigan,"70,000,000.00","61,300,000.00",0.087571429,,,,,,,
The Legend of Tarzan,2016-07-01,https://en.wikipedia.org/wiki/The_Legend_of_Tarzan_(film),Action,Adventure,David Yates,,Alexander Skarsgard,Margot Robbie,Christoph Waltz,Samuel L. Jackson,Djimon Hounsou,"180,000,000.00","352,700,000.00",0.195944444,,,,,,,
The Lego Movie,2014-02-01,https://en.wikipedia.org/wiki/The_Lego_Movie,Family,,Phil Lord,Chris Miller,Chris Pratt,Will Ferrell,Elizabeth Banks,Will Arnett,Nick Offerman,"60,000,000.00","469,200,000.00",0.782,,,,,,,
The Letters,2015-12-04,https://en.wikipedia.org/wiki/The_Letters_(film),Drama,,William Riead,,Juliet Stevenson,Max von Sydow,Rutger Hauer,Priya Darshini,,"1,000,000.00","1,600,000.00",0.16,,,,,,,
The Lucky One,2012-04-20,https://en.wikipedia.org/wiki/The_Lucky_One_(film),Drama,Romance,Scott Hicks,,Zac Efron,Taylor Schilling,Jay R. Ferguson,Riley Thomas Stewart,Adam Lefevre,"25,000,000.00","99,400,000.00",0.3976,,,,,,,
The Man from U.N.C.L.E.,2015-08-07,https://en.wikipedia.org/wiki/The_Man_from_U.N.C.L.E._(film),Action,Comedy,Guy Ritchie,,Henry Cavill,Armie Hammer,Elizabeth Debicki,Alicia Vikander,Hugh Grant,"75,000,000.00","109,800,000.00",0.1464,,,,,,,
The Man with the Iron Fists,2012-11-02,https://en.wikipedia.org/wiki/The_Man_with_the_Iron_Fists,Action,Fantasy,RZA,,Russell Crowe,Lucy Liu,David Bautista,RZA,Byron Mann,"20,000,000.00","20,300,000.00",0.1015,,,,,,,
The Martian,2015-09-11,https://en.wikipedia.org/wiki/The_Martian_(film),Sci-Fi,,Ridley Scott,,Matt Damon,Jeff Daniels,Kristen Wiig,Sean Bean,Jessica Chastain,"108,000,000.00","630,200,000.00",0.583518519,,,,,,,
The Master,2012-09-14,https://en.wikipedia.org/wiki/The_Master_(2012_film),Drama,,Paul Thomas Anderson,,Philip Seymour Hoffman,Joaquin Phoenix,Jesse Plemons,David Warshofsky,Amy Adams,"32,000,000.00","28,300,000.00",0.0884375,,,,,,,
The Maze Runner,2014-09-19,https://en.wikipedia.org/wiki/The_Maze_Runner_(film),Sci-Fi,Mystery,Wes Ball,,Dylan O'Brien,Will Poulter,Thomas Sangster,Aml Ameen,Kaya Scodelario,"34,000,000.00","348,300,000.00",1.024411765,,,,,,,
The Mermaid,2016-02-08,https://en.wikipedia.org/wiki/The_Mermaid_(2016_film),Sci-Fi,Fantasy,Stephen Chow,,Deng Chao,Lin Yun,Show Luo,Zhang Yuqi,Kris Wu,"60,720,000.00","553,800,000.00",0.912055336,,,,,,,
The Monuments Men,2014-02-07,https://en.wikipedia.org/wiki/The_Monuments_Men,Drama,,George Clooney,,George Clooney,Matt Damon,Bill Murray,John Goodman,Jean Dujardin,"70,000,000.00","155,000,000.00",0.221428571,,,,,,,
The Mortal Instruments: City of Bones,2013-08-21,https://en.wikipedia.org/wiki/The_Mortal_Instruments:_City_of_Bones,Action,Fantasy,Harald Zwart,,Lily Collins,Jamie Campbell Bower,Robert Sheehan,Jemima West,Kevin Durand,"60,000,000.00","90,600,000.00",0.151,,,,,,,
The Night Before,2015-11-20,https://en.wikipedia.org/wiki/The_Night_Before_(2015_film),Comedy,,Jonathan Levine,,Joseph Gordon-Levitt,Seth Rogen,Anthony Mackie,,,"25,000,000.00","52,400,000.00",0.2096,,,,,,,
The November Man,2014-08-27,https://en.wikipedia.org/wiki/The_November_Man,Thriller,,Roger Donaldson,,Pierce Brosnan,Olga Kurylenko,Luke Bracey,Bill Smitrovich,Will Patton,"15,000,000.00","34,800,000.00",0.232,,,,,,,
The Nut Job,2014-01-11,https://en.wikipedia.org/wiki/The_Nut_Job,Family,,Peter Lepeniotis,,Will Arnett,Katherine Heigl,Liam Neeson,Brendan Fraser,Gabriel Iglesias,"42,800,000.00","120,900,000.00",0.282476636,,,,,,,
