Movie Title,Release Date,Wikipedia URL,Genre (1),Genre (2),Director (1),Director (2),Cast (1),Cast (2),Cast (3),Cast (4),Cast (5),Budget ($),Box Office Revenue ($),weight,,,,,,,
Ant-Man,2015-06-29,https://en.wikipedia.org/wiki/Ant-Man_(film),Action,Adventure,Peyton Reed,,Paul Rudd,Evangeline Lilly,Corey Stoll,Bobby Cannavale,Michael Peña,"130,000,000.00","519,400,000.00",0.399538462,,,,,,,
Argo,2012-10-12,https://en.wikipedia.org/wiki/Argo_(2012_film),Drama,,Ben Affleck,,Ben Affleck,John Goodman,Alan Arkin,Bryan Cranston,Victor Garber,"44,500,000.00","232,300,000.00",0.522022472,,,,,,,
"As Above, So Below",2014-08-29,"https://en.wikipedia.org/wiki/As_Above,_So_Below_(film)",Horror,,John Erick Dowdle,,Drew Dowdle (screenplay)Perdita Weeks,Ben Feldman,Edwin Hodge,François Civil,Marion Lambert,"5,000,000.00","5,000,000.00",0.1,,,,,,,
Bad Moms,2016-07-29,https://en.wikipedia.org/wiki/Bad_Moms,Comedy,,Jon Lucas,Scott Moore,Mila Kunis,Christina Applegate,Kristen Bell,Jada Pinkett Smith,Kathryn Hahn,"20,000,000.00","124,200,000.00",0.621,,,,,,,
Barbershop: The Next Cut,2016-04-15,https://en.wikipedia.org/wiki/Barbershop:_The_Next_Cut,Comedy,,Malcolm D. Lee,,Ice Cube,Cedric the Entertainer,Nicki Minaj,Regina Hall,Eve,"20,000,000.00","55,000,000.00",0.275,,,,,,,
Batman v Superman: Dawn of Justice,2016-03-19,https://en.wikipedia.org/wiki/Batman_v_Superman:_Dawn_of_Justice,Action,,Zack Snyder,,Ben Affleck,Henry Cavill,Amy Adams,Jesse Eisenberg,Diane Lane,"250,000,000.00","872,700,000.00",0.34908,,,,,,,
Batman: The Killing Joke,2016-07-25,https://en.wikipedia.org/wiki/Batman:_The_Killing_Joke_(film),Action,,Sam Liu,Bruce Timm,Kevin Conroy,Mark Hamill,Tara Strong,Ray Wise,,"3,500,000.00","4,400,000.00",0.125714286,,,,,,,
Battle of the Year,2013-09-20,https://en.wikipedia.org/wiki/Battle_of_the_Year_(film),Musical,,Benson Lee,,Josh Holloway,Laz Alonso,Josh Peck,Caity Lotz,Chris Brown,"20,000,000.00","16,500,000.00",0.0825,,,,,,,
Battleship,2012-05-18,https://en.wikipedia.org/wiki/Battleship_(film),Action,Sci-Fi,Peter Berg,,Alexander Skarsgård,Taylor Kitsch,Brooklyn Decker,Rihanna,Liam Neeson,"220,000,000.00","303,000,000.00",0.137727273,,,,,,,
Beasts of the Southern Wild,2012-06-27,https://en.wikipedia.org/wiki/Beasts_of_the_Southern_Wild,Drama,Fantasy,Benh Zeitlin,,Quvenzhané Wallis,Dwight Henry,,,,"1,800,000.00","21,900,000.00",1.216666667,,,,,,,
Beautiful Creatures,2013-02-14,https://en.wikipedia.org/wiki/Beautiful_Creatures_(2013_film),Fantasy,Romance,Richard LaGravenese,,Viola Davis,Alice Englert,Emma Thompson,Emmy Rossum,Jeremy Irons,"60,000,000.00","60,100,000.00",0.100166667,,,,,,,
Before I Go to Sleep,2014-09-04,https://en.wikipedia.org/wiki/Before_I_Go_to_Sleep_(film),Mystery,Thriller,Rowan Joffé,,Nicole Kidman,Mark Strong,Colin Firth,Anne-Marie Duff,,"22,000,000.00","15,100,000.00",0.068636364,,,,,,,
Ben-Hur,2016-08-19,https://en.wikipedia.org/wiki/Ben-Hur_(2016_film),Adventure,,Timur Bekmambetov,,Jack Huston,Morgan Freeman,Toby Kebbell,Rodrigo Santoro,Nazanin Boniadi,"100,000,000.00","41,400,000.00",0.0414,,,,,,,
Beyond the Lights,2014-09-06,https://en.wikipedia.org/wiki/Beyond_the_Lights,Romance,Drama,Gina Prince-Bythewood,,Gugu Mbatha-Raw,Nate Parker,Minnie Driver,Danny Glover,,"7,000,000.00","14,600,000.00",0.208571429,,,,,,,
Big Eyes,2014-12-25,https://en.wikipedia.org/wiki/Big_Eyes,Biography,Drama,Tim Burton,,Amy Adams,Christoph Waltz,Krysten Ritter,Danny Huston,Terence Stamp,"10,000,000.00","29,300,000.00",0.293,,,,,,,
Black Mass,2015-09-04,https://en.wikipedia.org/wiki/Black_Mass_(film),Action,Drama,Scott Cooper,,Johnny Depp,Joel Edgerton,Benedict Cumberbatch,Sienna Miller,Dakota Johnson,"53,000,000.00","99,800,000.00",0.188301887,,,,,,,
Blackhat,2015-01-08,https://en.wikipedia.org/wiki/Blackhat_(film),Action,Thriller,Michael Mann,,Chris Hemsworth,Viola Davis,John Ortiz,Yorick van Wageningen,Tang Wei,"70,000,000.00","19,700,000.00",0.028142857,,,,,,,
Blended,2014-05-23,https://en.wikipedia.org/wiki/Blended_(film),Comedy,Romance,Frank Coraci,,Adam Sandler,Drew Barrymore,Bella Thorne,Emma Fuhrmann,Terry Crews,"40,000,000.00","128,000,000.00",0.32,,,,,,,
Blue Jasmine,2013-07-26,https://en.wikipedia.org/wiki/Blue_Jasmine,Drama,,Woody Allen,,Alec Baldwin,Cate Blanchett,Bobby Cannavale,Louis C.K.,Andrew Dice Clay,"18,000,000.00","97,500,000.00",0.541666667,,,,,,,
Boyhood,2014-01-19,https://en.wikipedia.org/wiki/Boyhood_(film),Drama,,Richard Linklater,,Ethan Hawke,Patricia Arquette,Ellar Coltrane,,,"4,000,000.00","44,500,000.00",1.1125,,,,,,,
